date,channel_name,message_id,text,sentiment,rephrased_news,title,topic,location_type,location,latitude,longitude,dorm_number
2023-11-11T07:51:25+00:00,Dormitory 7 of KPI,392,"**🌡️ Repair work on heating networks**

Today from 9:00 AM, there is no hot water supply and heating in most dormitories.

Estimated return time: 12:00 PM on November 12.

@kpicampus",negative,Repair work on heating networks has resulted in a lack of hot water and heating in most dormitories since 9:00 AM today. The expected restoration time is 12:00 PM on November 12.,Heating Outage in Dormitories,Citizen Discomfort,exact location,['KPI Dormitory 7'],50.4485221,30.4494086,7.json
2023-12-05T00:03:14+00:00,Dormitory 7 of KPI,394,"**News from the student campus**
🔸 An analysis of the financial and economic activities of the student campus for the period 2021-2023 has been conducted. A draft budget, procurement plan, and repair work for 2024 have been prepared and approved.

🔹 The renovation of the **gym in dormitory No. 7, which will also be used as a shelter**, has been completed.

🔸 The restoration of the stairs in dormitory No. 4 has been completed.

❤️ Take care of yourselves, use shelters during air alerts! 
Student campus KPI @studmisto. Have questions or suggestions? **Contact us - ****@kpi_studmisto_bot****. Good luck!**",positive,"An analysis of the financial and economic activities of the student campus from 2021 to 2023 has been completed, along with the approval of a draft budget, procurement plan, and repair work for 2024. Renovations of the gym in dormitory No. 7, which will serve as a shelter, have been finished, as well as the restoration of the stairs in dormitory No. 4.",Campus Renovations and Budget Approved,Improvements in Infrastructure,exact location,['KPI Dormitory 7'],50.4485221,30.4494086,7.json
2024-03-01T14:37:06+00:00,Dormitory 7 of KPI,402,"⚠️ **Emergency**

Emergency power outage across the Shulyavka area and KPI.

Estimated return time according to DTEK is 6:00 PM.

If you need to recharge, approach the guards for a power bank.

@kpicampus",negative,"An emergency power outage is affecting the Shulyavka area and KPI, with an estimated restoration time of 6:00 PM according to DTEK. Power banks are available from the guards for those needing to recharge.",Emergency Power Outage Alert,Citizen Discomfort,exact location,['KPI Dormitory 7'],50.4485221,30.4494086,7.json
2024-05-15T21:05:08+00:00,Dormitory 7 of KPI,404,"💡**Power outages**

Starting from May 16, hourly power outages may occur in Kyiv and the student campus according to the [schedule](https://www.dtek-kem.com.ua/ua/shutdowns) of Ukrenergo and DTEK.

Preliminary outages may occur [from](https://t.me/suspilnenews/32727) 12:00 AM to 9:00 AM or from 4:00 PM to 12:00 AM.

@kpicampus",negative,"Hourly power outages may begin in Kyiv and the student campus starting May 16, following the schedule from Ukrenergo and DTEK. Preliminary outages are expected from 12:00 AM to 9:00 AM or from 4:00 PM to 12:00 AM.",Hourly Power Outages Scheduled,Citizen Discomfort,exact location,['KPI Dormitory 7'],50.4485221,30.4494086,7.json
2024-06-24T09:31:36+00:00,Dormitory 7 of KPI,405,"🌡️ **Well, you get it**

**Kyivteploenergo promises to finish work by 11:00 PM every day, but ""something"" is going off plan.**

Estimated time: by the end of the month. Probably in 2024.

@kpicampus",negative,"Kyivteploenergo has stated that repair work is expected to be completed by 11:00 PM daily, but there are delays. The completion is now anticipated by the end of the month, possibly extending into 2024.",Heating Work Delays Expected,Deterioration in Infrastructure,exact location,['KPI Dormitory 7'],50.4485221,30.4494086,7.json
2024-08-06T09:20:47+00:00,Dormitory 7 of KPI,406,"🟢 **Directorate 06.08**

**Settlement**
Will begin on August 26, and by the end of the week, there will be lists for settlement from faculties and institutes. In total, about 9,000 students are planned to be brought out for mixed learning.

**Masters**
By August 2, they were supposed to write a [request](https://docs.google.com/document/d/13FJxmoUKzXYeRo9T8oGxshdi3MXm1faIDpQwAO6Tk1E/edit?usp=sharing) for a change in payment format and extension of residence in the dormitory until August 31.

If you haven't written a request, contact the manager.

**Hot water**
In some dormitories, there has been no hot water for 3 months due to major repair work.

**Elevators**
Due to the stabilization of electricity supply, the operation of most elevators will be restored.

@kpicampus",positive,"Settlement for approximately 9,000 students is set to begin on August 26, with lists from faculties and institutes to be provided by the end of the week. Masters students were expected to submit requests for changes in payment format and dormitory residence extension by August 2. Some dormitories have been without hot water for three months due to major repairs, but the operation of most elevators will resume due to stabilized electricity supply.",Settlement and Hot Water Issues,Improvements in Infrastructure,exact location,['KPI Dormitory 7'],50.4485221,30.4494086,7.json
2024-08-23T15:24:08+00:00,Dormitory 7 of KPI,408,"[​​](https://telegra.ph/file/b793c7b6b4d653e40c4f4.jpg)🙌 **Recruitment of volunteers to assist with settlement**

We are looking for volunteers who are ready to help settle newcomers! This is a great opportunity to meet new people and make the lives of first-year students in the campus easier.

If you have some free time and want to do something useful – fill out the [form at the link](https://forms.gle/3i48ThrZcRTxM3e68) **by August 25 inclusive.** We look forward to having you on our team!

@kpicampus",positive,Volunteers are being recruited to assist with the settlement of newcomers at the campus. Interested individuals can fill out a form by August 25.,Volunteers Needed for Settling,Community Events or Achievements,exact location,['KPI Dormitory 7'],50.4485221,30.4494086,7.json
2024-08-28T14:49:39+00:00,Dormitory 7 of KPI,409,"🌡 **Hot water outage**

**Due to emergency work, there is no hot water in some dormitories due to Kyivteploenergo.**

Hot water supply is planned to be restored by the evening of August 29.

@kpicampus",negative,"Due to emergency work by Kyivteploenergo, there is currently no hot water in some dormitories. The hot water supply is expected to be restored by the evening of August 29.",Hot Water Supply Disruption,Citizen Discomfort,exact location,['KPI Dormitory 7'],50.4485221,30.4494086,7.json
2023-10-10T10:52:35+00:00,Dormitory #4 KPI,158,"🟢 **Administration**

**Masters**
Students who complete their master's studies in winter will be evicted.

We remind you that previously, master's interns could continue to [stay until summer as external individuals.](https://t.me/kpicampus/1504)

**Heating**
Heating is planned to be supplied according to the KMDA schedule — **around October 15.** As usual, heating in the dormitories will be delayed by a week.

**Payment**
Payment in September was calculated at the rate of 4 people per room; starting in October, the payment amount will be calculated based on the [number of registered residents in the room](https://t.me/kpicampus/1059).

If a student is settled in the middle of the month, the payment will change from the following month, not from the moment of their settlement.

**""Laundry""**
New washing machines are planned to be added to the dormitories to replace the old ones.

**Illegal Residents**
The surveillance cameras planned to be installed in the student campus will be directly connected to the DB office to reduce the number of illegal residents entering the dormitory.

**Windows**
The installation of new windows in Dormitory 4 is delayed due to incorrectly specified dimensions.

@kpicampus",positive,"Students completing their master's studies in winter will be required to vacate. Previously, master's interns could remain until summer as external individuals. Heating is scheduled to begin around October 15, with a typical one-week delay for dormitories. September payments were based on four residents per room, but from October, charges will reflect the actual number of registered residents. If a student moves in mid-month, the payment adjustment will take effect the following month. New washing machines are set to replace old ones in the dormitories. Surveillance cameras will be installed on campus to help reduce illegal residents. The installation of new windows in Dormitory 4 is delayed due to incorrect measurements.",Dormitory Updates for Students,Improvements in Infrastructure,exact location,['KPI Dormitory 4'],50.4490125,30.4508679,4.json
2024-05-08T12:25:22+00:00,Dormitory #4 KPI,161,"💧**May Without Water**

There is no hot water supply in the dormitories due to a break in the heating network and the corresponding repair work until May 13 at 23:59. After their completion, hydraulic tests of the pipes will begin until the end of the month.

The estimated completion date for all work and the return of water, according to Kyivteploenergo, is May 28 — 31.

@kpicampus",negative,"Hot water supply in the dormitories is currently unavailable due to a break in the heating network, with repairs expected to last until May 13 at 23:59. Following repairs, hydraulic tests will be conducted until the end of the month. Kyivteploenergo estimates that all work will be completed and water restored between May 28 and 31.",Hot Water Outage Extended,City Problems,exact location,['KPI Dormitory 4'],50.4490125,30.4508679,4.json
