text,cluster_title,longitude,latitude,summary,summary_id,place_id
"This is a great place to stay. Modern and definitely has a personality. The front desk staff were nice and the atmosphere is fun.

Our room was very nice. Bed was quite firm, and pillows were ok, maybe a little soft for my taste.

The location is near a nice mall with lots of world-brand stores and ice skating...and that includes one of the largest grocery stores I have ever been to in my life. If you need to get down to the city center, that's going to take 20-30 minutes by car.

The reason they lose a star is that I found the hotel to be quite noisy at night. Aside from easily hearing guests talking in the halls, and whatever the neighbors might be ""doing"" in their room, the doors slam shut and it is quite loud. This is compounded by the fact that the halls are long and that creates an echo. If you read through other reviews, there isn't much mention of this, so maybe the issue is ""me..."" But, I'd just say if you're a light sleeper, you might want to consider a different hotel.",Hotel Quality Concerns,50.4490598,30.4412408,"('Despite modern design and friendly staff, noise from hallways and slamming doors disrupts sleep; light sleepers may need to consider other options. Rooms are small but clean and cozy.', 830)",e3e82c91-b129-4d53-a653-05822e1751f2,61de7c573ddbd843e0fd38d3460f3372
"Very nice place to stay. Rooms are clean and it's quite at night. Very good design everywhere, it's visible that place is new.
The location is ok, it's far from city centre but if you are interested to stay closer to university district it's a good place.
The hotel is dog friendly! Ah, also make sure to check if your room has windows as not all of them do",Hotel Quality Concerns,50.4490598,30.4412408,"('Despite modern design and friendly staff, noise from hallways and slamming doors disrupts sleep; light sleepers may need to consider other options. Rooms are small but clean and cozy.', 830)",e3e82c91-b129-4d53-a653-05822e1751f2,61de7c573ddbd843e0fd38d3460f3372
"Nice and cozy hotel. Value for the money. Staff was very friendly and helpful. Little bit far from the city center to walk, so can't have a proper evening walk and the area didn't look like roaming around , but metro station was near and public transportation is available as well (even though is not recommended to use). Taxi is cheap, so better use that. Ask the receptionist to help you with taxi calling (uber, bolt or uklon). Shopping center is right behind the hotel. Rooms are small for my taste , but everything is there, clean and neat. Laundry is bit expensive, but free laundry room is always available. 😉",Hotel Quality Concerns,50.4490598,30.4412408,"('Despite modern design and friendly staff, noise from hallways and slamming doors disrupts sleep; light sleepers may need to consider other options. Rooms are small but clean and cozy.', 830)",e3e82c91-b129-4d53-a653-05822e1751f2,61de7c573ddbd843e0fd38d3460f3372
"Nice and cozy hotel. Value for the money. Staff was very friendly and helpful. Little bit far from the city center to walk, so can't have a proper evening walk and the area didn't look like roaming around , but metro station was near and public transportation is available as well (even though is not recommended to use). Taxi is cheap, so better use that. Ask the receptionist to help you with taxi calling (uber, bolt or uklon). Shopping center is right behind the hotel. Rooms are small for my taste , but everything is there, clean and neat. Laundry is bit expensive, but free laundry room is always available. 😉",Poor Customer Service,50.4490598,30.4412408,"(""Hotel offers good value and friendly staff, but it's far from the city center and the area feels unsafe for walking. Small rooms and pricey laundry are other drawbacks; taxis recommended."", 431)",f6552eb1-de5c-4189-862c-db650e708808,61de7c573ddbd843e0fd38d3460f3372
Rooms are modern but not very big. A pet peeve of mine was how small the sink was. But it was a comfortable bed and nice people at the desk. Even got my breakfast coffee/espresso. Made for a good start in the morning.,Hotel Quality Concerns,50.4490598,30.4412408,"('Despite modern design and friendly staff, noise from hallways and slamming doors disrupts sleep; light sleepers may need to consider other options. Rooms are small but clean and cozy.', 830)",e3e82c91-b129-4d53-a653-05822e1751f2,61de7c573ddbd843e0fd38d3460f3372
"Nice clean hotel, friendly staff.  Great location.  Very modern design - simple, elegant.  It is on par with a typical business hotel in the US; however, there are no phones in the room.  Good value for the price.",Hotel Quality Concerns,50.4490598,30.4412408,"('Despite modern design and friendly staff, noise from hallways and slamming doors disrupts sleep; light sleepers may need to consider other options. Rooms are small but clean and cozy.', 830)",e3e82c91-b129-4d53-a653-05822e1751f2,61de7c573ddbd843e0fd38d3460f3372
"Not far from the underground. A convenient bathroom, we met friendly manager. As for cons, we had to ask for cleaning after two nights of staying, the electric lock could work with issues, a little bit dusty.",Hotel Quality Concerns,50.4576518,30.433419,"('The hotel has dusty conditions and weak soundproofing, with thin walls letting noise in, making it less suitable for quiet stays. Cleaning service requires a request. Good location for short trips.', 459)",e954690c-9a37-4a98-9853-0d5e7911698e,a39ef13b05769c4cb024e6fd3fde6e94
"Nice place to spend one night during business trip. Serves tasty Ukrainian food. Serves room for conference conducting. Room includes compact fridge, electrical kettle.",Hotel Quality Concerns,50.4576518,30.433419,"('The hotel has dusty conditions and weak soundproofing, with thin walls letting noise in, making it less suitable for quiet stays. Cleaning service requires a request. Good location for short trips.', 459)",e954690c-9a37-4a98-9853-0d5e7911698e,a39ef13b05769c4cb024e6fd3fde6e94
Walls are a bit thin. Not soundproof. We can hear the TV from guest next door. Make sure you bring earplugs! And hope that the guests next door to you don't watch TV all night with loud volumes!,Hotel Quality Concerns,50.4576518,30.433419,"('The hotel has dusty conditions and weak soundproofing, with thin walls letting noise in, making it less suitable for quiet stays. Cleaning service requires a request. Good location for short trips.', 459)",e954690c-9a37-4a98-9853-0d5e7911698e,a39ef13b05769c4cb024e6fd3fde6e94
Walls are a bit thin. Not soundproof. We can hear the TV from guest next door. Make sure you bring earplugs! And hope that the guests next door to you don't watch TV all night with loud volumes!,Quality of Services,50.4576518,30.433419,"('Thin walls allow noise to easily travel between rooms, making it hard to relax, especially if neighbors watch TV loudly. Earplugs recommended for a peaceful stay.', 345)",709e8404-3ce8-4f46-a651-fe1c63d6eefa,a39ef13b05769c4cb024e6fd3fde6e94
