date,channel_name,message_id,text,sentiment,rephrased_news,title,topic,location_type,location,coords
2024-10-05T21:37:34+00:00,LOS SOLOMAS. KYIV,70883,"We are being informed:

There is a fire on Ushynskyi Street.
Someone set a garage on fire.

👀",negative,"There is a fire reported on Ushynskyi Street, involving a garage.",Garage Fire on Ushynskyi Street,Accidents or Disasters,street,"Kyiv, Ushynskyi Street","[50.4503596, 30.5245025]"
2024-10-05T18:49:07+00:00,LOS SOLOMAS. KYIV,70855,"Accident at the Akademmistechko metro station, towards Lavina.",negative,"An accident occurred at the Akademmistechko metro station, affecting travel towards Lavina.",Accident at Akademmistechko Station,Accidents or Disasters,exact location,"Kyiv, Akademmistechko metro station","[50.4649376, 30.3550961]"
2024-10-05T10:04:02+00:00,LOS SOLOMAS. KYIV,70830,"**Complicated traffic in the direction of Vadym Hetman Street due to an accident,** - police.",negative,"Traffic is complicated in the direction of Vadym Hetman Street due to an accident, according to police reports.",Traffic Complications on Vadym Hetman,Accidents or Disasters,street,"Kyiv, Vadym Hetman Street","[50.4503596, 30.5245025]"
2024-10-05T07:46:35+00:00,LOS SOLOMAS. KYIV,70825,"DOG MISSING!!!

Today in the area of P. Radchenko Street, a mother was walking her dog, which broke free from the leash and ran after a yard dog.

At 9:10, it was seen running across Lobanovskyi Street and near the Holovka bus stop and the former Belgorodskyi Street.

A black pug, responds to the name John, Joni. Very friendly, approaches people.

White spots on the chest and front paws.

If anyone has seen him and can catch him or has any information - please write to me!

@lakiza_ann
0669996245

REWARD!

And I kindly ask you to share this in similar local chats 🥺

The little dog is very much awaited at home!!!",negative,A black pug named John went missing in the area of P. Radchenko Street. The owner is seeking help in locating the dog.,Missing Dog in Kyiv Area,Other,street,"Kyiv, P. Radchenko Street","[50.4503596, 30.5245025]"
2024-10-01T10:57:07+00:00,LOS SOLOMAS. KYIV,70653,"Accident on Oleksy Tykhyi. Traffic is complicated, please take this into account.",negative,Traffic is complicated due to an accident on Oleksy Tykhyi.,Traffic Complications on Oleksy Tykhyi,Citizen Discomfort,street,"Kyiv, Oleksy Tykhyi","[50.4503596, 30.5245025]"
2024-09-30T15:48:03+00:00,LOS SOLOMAS. KYIV,70623,"Fedor Ernst Street

A courier was hit

@lossolomas_kyiv",negative,A courier was struck by a vehicle on Fedor Ernst Street.,Courier Injured on Fedor Ernst,Accidents or Disasters,street,"Kyiv, Fedor Ernst Street","[50.4503596, 30.5245025]"
2024-09-30T14:50:14+00:00,LOS SOLOMAS. KYIV,70612,"We are being informed:

The fast tram, Lubomyr Huzar station, is shedding plaster in large chunks.
Be careful.",negative,"At the Lubomyr Huzar station, large chunks of plaster are falling from the ceiling; caution is advised.",Plaster Falling at Tram Station,Deterioration in Infrastructure,exact location,"Kyiv, Lubomyr Huzar station","[50.4503596, 30.5245025]"
2024-09-30T09:52:35+00:00,LOS SOLOMAS. KYIV,70608,"**Charity mono-performance ""Unborn for War"".**
On stage of the theater — a fighter of the Third Assault Brigade, Honored Artist of Ukraine Yevhen Avdiyenko.

This tragicomedy is about black humor, love and loneliness, unbearable military hooliganism, and dangerous adventures. Real stories from the front without pathos and romance.

When: November 21, 19:00.

📍 Where: Kyiv Academic Drama Theater on Podil (Andriivskyi Descent, 20-B).

💸 Cost: 300 - 800 UAH. All funds will be directed to the needs of our military on the front line.

Tickets can be purchased [via this link.](https://kyiv.karabas.com/3-tya-shturmova-bryhada-ta-chornyy-kvadrat-militari-stand-up-nenarodzheni-dlya-viyny-9/)",positive,"A charity mono-performance titled 'Unborn for War' will take place on November 21 at the Kyiv Academic Drama Theater, featuring stories from the frontlines. Proceeds will support military needs.",Charity Performance for Military,Community Events or Achievements,exact location,Kyiv Academic Drama Theater,"[50.4503596, 30.5245025]"
2024-09-30T09:26:45+00:00,LOS SOLOMAS. KYIV,70607,"**At ""Vokzalna"" metro station, a passenger who fell onto the tracks is alive**

The police are already on site, and an ambulance has been called for the woman. Train movement has been restored, and the delay was no more than 7 minutes.

@lossolomas_kyiv",negative,"A passenger who fell onto the tracks at 'Vokzalna' metro station is alive, and emergency services are on the scene. Train operations have resumed with minimal delay.",Passenger Rescued at Metro Station,Accidents or Disasters,exact location,"Kyiv, Vokzalna metro station","[50.4413353, 30.489963]"
2024-09-27T14:24:17+00:00,LOS SOLOMAS. KYIV,70394,"**Svitlychnyk 3.0 is a two-day local festival for the birthday of the sixtier Ivan Svitlychnyi.**
**He was a literary critic, but he was knowledgeable not only about books but also about people.**
** He easily established relationships with them and maintained communication with many simultaneously. His Khrushchyovka on Umanska was one of the key points in the sixtiers' topography of Kyiv.**
**A place for meetings and acquaintances, a poetic workshop, a club, and a library for the creative youth of the 1960s. Today we would call Svitlychnyi a guru of networking and community building.**
On September 28-29, we will meet at the platform ""Ostriv,"" which is a local cultural center in Chokolivka, to celebrate the birthday of a neighbor from the past and discuss the sixtiers in broader contexts. This is all that matters to us now – attitudes towards the Soviet legacy, activism and solidarity networks, memory and commemoration practices, ultimately – how new media help to make sense of the past. In addition to the educational component, the festival will also include creative workshops from residents of the ""Ostriv"" platform, the content of which will address various figures and dimensions of the sixtiers, including artistic ones.

""Svitlychnyk"" first took place in 2020 as an intimate event for the neighborhood community, aimed at communicating the emergence of Ivan Svitlychnyi Street in Chokolivka. The next event was held as a literary evening for young authors. During the full-scale war, we continue this commemorative practice in the district space, scaling it up to a mini-festival.

👉[** PROGRAM OF THE FIRST DAY**](https://t.me/lossolomas_kyiv/70119)

👉[** PROGRAM OF THE SECOND DAY **](https://t.me/lossolomas_kyiv/70194)**

👉**[** WORKSHOPS**](https://t.me/lossolomas_kyiv/70199)**

****__*The event is free!
Workshops - donation to the Armed Forces of Ukraine*__**

**📍Platform ""Ostriv"": Volynska 9/21

📍Park Suputnyk (opposite Svitlychnyi's house): Umanska 35**",positive,"The Svitlychnyk 3.0 festival will be held on September 28-29 at the 'Ostriv' cultural center in Chokolivka, celebrating the legacy of Ivan Svitlychnyi and discussing various cultural topics.",Svitlychnyk Festival Celebrates Literary Legacy,Community Events or Achievements,exact location,"Kyiv, Ostriv cultural center","[50.4503596, 30.5245025]"
